Wavelength,Amber 595-600nm,Blue 460-470nm,"Cool White 10,000-15,000K",Cyan 490nm,Deep Red 660nm,Far Red 730nm,Full Spectrum 380-840nm,Green 520-525nm,Infrared 850nm,Infrared 940nm,Natural White 4000 - 4500K,Orange 600-605nm,Red 620-625nm,Royal Blue 440nm,UV 365nm,UV 370nm,UV 375nm,UV 380nm,UV 385nm,UV 395nm,UV 400nm,UV 405nm,UV 410nm,UV 425nm,Warm White 3000 - 3500K,White 6000 - 6500K,Yellow 590-595nm
204,-0.0009,0.0028,0.0027,0.0027,0.0011,0.0001,0.0034,0.0002,-0.0018,0.0026,0.001,0.0004,-0.0003,0.0007,0.0019,0.0006,0.0003,0.0003,0.0008,0,0.001,0.0019,0.0008,-0.0018,0.0023,0.0007,0.0034
204,-0.0005,0.0038,0.0015,-0.0017,-0.0021,0.0002,-0.0011,-0.0008,-0.0029,0.0032,0.0004,0.0033,0.0001,-0.0014,0.0006,0.0012,0.0008,0.0014,-0.0005,0.0007,-0.0019,0.0015,0.0013,-0.0024,-0.0006,0.0002,0.0019
204,-0.0003,0.0019,0.0012,0.0007,0.0024,0.0026,0.0004,-0.0005,0.0028,0.0003,0.0012,0.0024,0.0009,0,0.0015,0.0007,-0.0033,0.0019,0.0013,0.0019,0.0013,0.0021,0.003,0.0022,0.0008,0.002,0.0016
205,-0.0012,0.0006,0.0022,-0.0005,0.0013,0.0009,0.0019,-0.0006,0.0006,0.0007,-0.0004,0,-0.0006,0.0002,-0.0017,-0.0012,-0.0003,0.0016,-0.0003,0.001,-0.002,-0.0005,0,-0.0008,0.0001,0.0023,-0.0002
205,0.0006,0.0008,0.0012,0.0036,0.0024,-0.0006,0.004,0.0011,0.0008,0.0002,0.0006,0.0014,0.0019,0.0002,0.0014,0.0014,-0.001,0.0012,0.0017,-0.001,0.0021,0.0012,0.0018,-0.0009,0,0.0004,0.0007
205,-0.0029,0.0006,0.0024,0.0023,-0.0004,0.0004,-0.0006,-0.0018,0.0005,0.0008,0.0021,-0.0003,0.0004,0.0027,-0.0007,0.0016,0.0013,-0.0012,0.0009,-0.0018,-0.0014,0.0009,-0.0008,0.0004,-0.0012,0.0027,0.0022
205,0.0006,0.0008,-0.0015,0.0013,0.0018,0.0007,0.0016,-0.0001,-0.0004,0.0008,0.0023,0.0014,0.0044,0.0024,0.003,0.002,0.0007,0.0008,-0.0021,0.0019,0.0009,0,0.0013,0.0012,0.0019,0.0017,0.0027
205,-0.0008,-0.0003,-0.0008,0.0007,0.0017,0.0014,0.0025,-0.0007,0.0016,0.0011,-0.0007,0.0011,-0.0029,-0.0032,-0.0007,0.0004,-0.0027,-0.0013,0.0013,-0.0016,0.0008,0.0002,-0.0007,-0.0028,0.0025,-0.001,0.0017
206,0.0006,0.0007,-0.0006,-0.0006,0.0013,0.0035,0.0006,0.0032,0.0006,0.0008,0.0005,0.0046,0.0017,-0.0002,-0.0015,0.001,0.0025,0.0008,0.0014,0.0018,0.0013,-0.0001,-0.0006,0,0.0002,-0.0008,0.0006
206,-0.0005,0.0015,-0.0004,-0.0007,0.0002,0.0013,0.0013,-0.0004,0.0011,0.0001,-0.0019,-0.0024,-0.0022,-0.0006,0.0018,-0.0006,-0.0024,-0.0006,0.0006,-0.0013,-0.0007,-0.0013,-0.0027,-0.0011,0.0006,0.0012,0.0025
206,0.0006,-0.0002,0.0005,0.0023,0.0022,0.0013,0.001,0,0.001,-0.0001,0.0007,0.0023,0.0025,-0.0003,-0.0002,0.0013,-0.0006,-0.0007,0.0008,0.0004,0.0021,0.0001,0.0022,-0.0003,0.002,0.0047,0.0011
206,0.0008,-0.0009,-0.0007,0.0003,-0.0017,0.0007,0.0023,0.0006,0.0002,0.0014,0.0005,0.0011,0.0006,-0.0036,-0.0005,0.0025,-0.0014,-0.002,0.0006,-0.0006,0.0008,-0.0005,-0.0006,-0.0006,0.0001,0.0019,0.0015
206,-0.0002,0.0016,0.0011,-0.0007,0.001,0.001,0.0052,0.0019,0.0015,0.0018,-0.0009,0.0005,0.0033,0.0021,0.0013,0.0031,-0.0003,0.0005,0.0016,-0.0002,0.0037,-0.0006,0.0017,0.0016,0.003,0.0022,0.0018
207,0.0008,0.0036,-0.0002,0.0013,0.001,-0.0003,0.0025,-0.0021,0.0003,0.0003,0.0006,-0.0008,0.0002,0.0013,0.0008,0.0014,0.0013,0.0002,-0.001,-0.0007,0.0004,0.001,-0.0016,0.0012,-0.0006,0.0026,0.0009
207,0.0036,0,0.0029,0.003,0.0022,0.0042,0.0026,0.0021,0.0002,0.0016,0.0011,0.0004,-0.0002,-0.0015,0.0024,-0.0006,0.0025,0.002,0.0029,0.0027,0.0028,0.0012,0.0023,-0.0001,0.003,0.0032,-0.0003
207,-0.0007,0.0016,-0.0023,0.0004,0.0011,0.0014,0.0008,0.0013,0.0014,-0.0014,0.0019,-0.0002,0.0026,0.0002,-0.0006,-0.0009,0.0026,0.0012,-0.003,-0.0006,0.0003,-0.0007,0.0028,-0.0008,0.0012,0.0002,0.0011
207,-0.0019,0.0007,0.002,0.0014,0.0014,0.0029,0.001,0.0018,0.0023,0.0006,0.0021,0.004,0,0.0011,0.0008,-0.0004,0.0002,0.0008,-0.0002,-0.0014,0.002,-0.0006,0.0035,-0.0008,0.0014,0.0015,0.001
207,-0.0027,-0.0005,0.0018,0.0002,0.0021,0.001,0.001,-0.0002,-0.0008,-0.0007,-0.001,-0.001,0.0011,0.0004,-0.0021,0.0003,-0.0018,-0.0004,0.0003,-0.0008,-0.0013,-0.0019,-0.0012,-0.0012,-0.0022,0,-0.001
208,0.0012,0.0015,-0.0009,0.0015,0.0011,0.0038,0.0045,0.0022,-0.001,0.0008,0.0041,0.0012,0.0012,0.0002,-0.0014,-0.0009,-0.0003,0.0021,0.0041,-0.0006,0.0011,0.0011,0.0012,0.0012,0.0019,0.0045,0.0014
208,-0.0018,0.0008,0.0015,-0.0011,-0.0019,0.0028,0.0025,0.0015,0.0002,-0.0012,0.0004,0.0006,0.0001,-0.0022,0.0012,-0.0023,-0.0011,0.0016,0.002,-0.0003,0.0004,0.0002,-0.0019,0.002,-0.0003,-0.0009,0.0006
208,0.0006,0.0013,-0.001,0.0012,0.0001,0.0034,0.0003,0.0011,0.0015,0.0009,0.0009,0.0036,0.0012,0.004,0.0004,-0.0004,-0.0009,-0.001,0.002,-0.0031,0,0.0012,0.0023,-0.0007,0.0012,0.0027,-0.0006
208,-0.0031,-0.0017,0.0029,-0.0012,-0.0015,0.0011,0.0003,0,0,0.001,0.0028,-0.0008,-0.0009,-0.0002,0.003,-0.0003,-0.0025,0.0025,0.0003,-0.0012,-0.0006,-0.0011,-0.0004,-0.0004,0.0003,-0.0003,0.0011
208,-0.0008,-0.0012,0.0005,0.0001,0.0001,0.0034,-0.0002,0.0022,0.0012,0.0026,-0.0001,0.0033,0.0042,0.002,0.0013,-0.0002,-0.0006,0.0026,0.0005,0.001,-0.0003,0.002,-0.0015,0.0022,0.003,-0.0011,-0.0001
209,-0.0009,0.0018,0.0015,0.0029,0.002,0.0012,0.0006,0,-0.0003,0,-0.0001,0.0004,-0.0022,-0.0008,-0.0031,-0.0012,0.0009,0.0003,-0.0023,0.0011,0.0003,-0.0018,0.0003,-0.0008,0.0007,0.0024,0.001
209,0,-0.0025,0.0037,0.0014,-0.0006,0.0029,0.0028,0.0024,-0.0007,0.0016,0.0001,0.0028,-0.0019,0.0018,0.0028,0.0012,-0.0016,0.0012,0.0007,0.0012,0.0023,0.0009,0.0024,0.0004,0.0001,0.001,-0.0012
209,-0.0003,-0.0017,-0.0002,-0.0006,0.001,-0.0001,0.0003,-0.0011,0.0004,-0.0007,0.0012,-0.0008,-0.0005,-0.0002,-0.0012,0,-0.0028,0.0012,-0.0006,-0.001,-0.0019,0.001,-0.0009,-0.0007,0.0005,-0.0012,0.0013
209,-0.0003,0.0008,0.0002,-0.0015,0.0008,0.0024,0.0015,0.0012,-0.0006,0.0034,-0.0003,0.0018,0.0002,0.0008,-0.0004,0.0013,-0.0001,0.0016,0.001,-0.0008,-0.0007,0.0005,0.0004,0.0001,0.0007,-0.0007,0.0006
210,0,0.001,0.0029,-0.0015,-0.0022,0.0011,0.0007,0.002,-0.001,0.0029,0.0003,0.0019,-0.0028,-0.002,-0.0022,0,0.0001,-0.0002,0.0001,-0.0003,-0.0013,-0.0009,-0.0017,-0.002,0.0003,0.0022,0.0025
210,0.0015,0.0009,0.0045,-0.0016,0.0027,0.0007,0.0013,0.0007,-0.0032,0,0.0023,0.0014,0.001,-0.0007,0.0002,-0.0007,0.0002,-0.0012,0,0.0001,-0.001,0.0005,0.0012,-0.0023,-0.0011,0.0009,-0.0018
210,-0.0019,0.0008,0.0031,0.0001,-0.0008,0.0006,-0.0005,0.0005,-0.0002,0.0006,-0.0009,0.0015,-0.0019,0.0003,-0.0018,-0.0005,0.002,-0.0002,0.0011,-0.0001,-0.0032,-0.0009,0.0004,-0.0022,-0.0007,-0.0008,0.0008
210,0.0015,0.0009,0.0006,-0.0002,0.0021,-0.0015,0.0006,0.0011,-0.0003,0.0006,0.0019,0.0019,-0.0009,0.0008,0.0026,0.0014,-0.0027,0.0009,0.0005,0.0001,0.001,0.0006,-0.0007,-0.0005,0.0009,-0.0004,0.0031
210,-0.0026,-0.0013,0.0022,-0.0008,0.0002,-0.0006,-0.0002,-0.0005,0.001,0.0005,0.0014,-0.0018,0.0012,-0.0013,-0.0014,0.0004,-0.0001,0.0016,-0.002,-0.0009,0.0015,0.0011,0.0016,-0.0012,-0.002,0.0022,-0.0005
