Wavelength,10:00am,No cosine
304,0.0029,0.0024
304,0.0018,0.0005
305,0.0015,0.0029
305,0.0033,0.0008
305,0.0025,0.0038
305,0.0000,0.0014
306,0.0037,0.0007
306,0.0022,0.0052
306,0.0017,0.0016
306,0.0039,0.0030
306,0.0005,0.0018
307,0.0040,0.0044
307,0.0051,0.0041
307,0.0026,0.0016
307,0.0029,0.0015
307,0.0034,0.0045
308,0.0024,0.0019
308,0.0041,-0.0001
308,0.0017,0.0011
308,0.0046,0.0030
308,0.0025,0.0024
309,0.0028,0.0022
309,0.0011,0.0021
309,0.0023,0.0026
309,0.0042,0.0002
310,0.0042,0.0049
310,0.0031,0.0017
310,0.0027,0.0046
310,0.0006,0.0038
310,0.0041,0.0044
311,0.0040,0.0016
311,0.0020,0.0015
311,0.0031,0.0023
311,0.0033,0.0035
311,0.0047,0.0028
312,0.0039,0.0045
312,0.0039,0.0010
312,0.0042,0.0034
312,0.0029,0.0022
313,0.0034,0.0035
313,0.0014,0.0023
313,0.0020,0.0030
313,0.0002,0.0009
313,0.0034,0.0042
314,0.0034,0.0024
314,0.0023,0.0023
314,0.0021,0.0015
314,0.0059,0.0035
314,0.0022,0.0006
315,0.0041,0.0041
315,-0.0015,0.0030
315,0.0035,0.0025
315,0.0032,-0.0022
315,0.0057,0.0035
316,0.0041,0.0019
316,0.0000,0.0023
316,0.0006,0.0011
316,0.0018,0.0039
317,0.0027,0.0017
317,0.0025,0.0015
317,0.0012,0.0018
317,0.0051,0.0038
317,0.0022,0.0017
318,0.0046,0.0043
318,0.0016,0.0045
318,0.0019,0.0023
318,0.0030,0.0019
318,0.0025,0.0034
319,-0.0002,0.0027
319,0.0051,0.0027
319,0.0007,0.0037
319,0.0043,0.0038
319,0.0015,0.0020
320,0.0025,0.0021
320,0.0041,0.0019
320,0.0039,0.0008
320,0.0010,0.0031
321,0.0016,0.0019
321,0.0029,0.0035
321,0.0025,0.0044
321,0.0015,0.0023
321,0.0032,0.0015
322,0.0036,0.0017
322,0.0057,0.0025
322,0.0026,0.0017
322,0.0027,0.0038
322,0.0048,0.0054
323,0.0053,0.0016
323,0.0050,0.0032
323,0.0037,0.0020
323,0.0036,0.0029
324,0.0011,0.0031
324,0.0012,0.0004
324,0.0014,0.0056
324,0.0018,0.0020
324,0.0033,-0.0001
325,0.0042,0.0015
325,0.0038,0.0020
325,0.0039,0.0014
325,0.0047,0.0030
325,0.0047,0.0024
326,0.0036,0.0050
326,0.0028,0.0049
326,0.0047,0.0036
326,0.0027,0.0047
326,0.0068,0.0044
327,0.0012,0.0035
327,0.0057,0.0051
327,0.0038,0.0041
327,0.0030,0.0032
328,0.0047,0.0065
328,0.0100,0.0070
328,0.0039,0.0054
328,0.0072,0.0037
328,0.0026,-0.0001
329,0.0068,0.0057
329,0.0042,0.0033
329,0.0042,0.0041
329,0.0041,0.0046
329,0.0068,0.0047
330,0.0042,0.0027
330,0.0042,0.0052
330,0.0029,0.0070
330,0.0044,0.0063
331,0.0066,0.0058
331,0.0054,0.0054
331,0.0030,0.0035
331,0.0068,0.0065
331,0.0043,0.0062
332,0.0074,0.0038
332,0.0052,0.0050
332,0.0044,0.0066
332,0.0015,0.0043
332,0.0049,0.0053
333,0.0054,0.0059
333,0.0065,0.0074
333,0.0067,0.0059
333,0.0028,0.0047
333,0.0047,0.0039
334,0.0030,0.0073
334,0.0045,0.0052
334,0.0046,0.0081
334,0.0003,0.0067
335,0.0051,0.0047
335,0.0032,0.0058
335,0.0047,0.0057
335,0.0037,0.0050
335,0.0073,0.0071
336,0.0036,0.0059
336,0.0069,0.0064
336,0.0069,0.0023
336,0.0057,0.0065
336,0.0032,0.0103
337,0.0044,0.0089
337,0.0059,0.0059
337,0.0058,0.0056
337,0.0029,0.0057
338,0.0030,0.0073
338,0.0021,0.0055
338,0.0051,0.0056
338,0.0031,0.0055
338,0.0104,0.0087
339,0.0060,0.0068
339,0.0067,0.0035
339,0.0057,0.0048
339,0.0066,0.0054
339,0.0046,0.0071
340,0.0054,0.0072
340,0.0047,0.0065
340,0.0062,0.0077
340,0.0060,0.0072
341,0.0053,0.0063
341,0.0043,0.0083
341,0.0054,0.0068
341,0.0051,0.0073
341,0.0066,0.0082
342,0.0056,0.0083
342,0.0046,0.0122
342,0.0066,0.0062
342,0.0069,0.0077
342,0.0054,0.0059
343,0.0078,0.0067
343,0.0073,0.0053
343,0.0067,0.0089
343,0.0035,0.0065
344,0.0089,0.0094
344,0.0075,0.0066
344,0.0110,0.0096
344,0.0044,0.0094
344,0.0069,0.0096
345,0.0078,0.0082
345,0.0074,0.0082
345,0.0073,0.0082
345,0.0097,0.0099
345,0.0075,0.0050
346,0.0077,0.0075
346,0.0087,0.0108
346,0.0051,0.0066
346,0.0057,0.0097
347,0.0050,0.0115
347,0.0083,0.0080
347,0.0087,0.0083
347,0.0084,0.0099
347,0.0065,0.0088
348,0.0068,0.0100
348,0.0099,0.0113
348,0.0071,0.0105
348,0.0095,0.0093
348,0.0044,0.0103
349,0.0068,0.0101
349,0.0078,0.0104
349,0.0100,0.0112
349,0.0069,0.0086
349,0.0057,0.0104
