Wavelength,Daylight Window,Daylight Direct
261.6,0.0015,0.0042
261.8,0.0030,0.0023
262.1,0.0028,0.0020
262.3,0.0036,0.0052
262.5,0.0018,0.0018
262.7,0.0029,0.0029
262.9,0.0001,0.0042
263.1,0.0022,0.0075
263.3,0.0001,0.0044
263.5,0.0041,0.0052
263.7,-0.0015,0.0032
263.9,0.0038,0.0082
264.1,0.0020,0.0032
264.3,0.0021,0.0073
264.5,-0.0014,0.0066
264.7,0.0032,0.0039
265.0,0.0013,0.0051
265.2,0.0036,0.0055
265.4,-0.0009,0.0067
265.6,0.0016,0.0061
265.8,0.0013,0.0041
266.0,0.0016,0.0045
266.2,0.0018,0.0048
266.4,0.0000,0.0057
266.6,-0.0016,0.0048
266.8,-0.0012,0.0040
267.0,0.0005,0.0048
267.2,0.0028,0.0048
267.4,0.0011,0.0031
267.7,0.0020,0.0025
267.9,0.0006,0.0040
268.1,0.0019,0.0030
268.3,0.0020,0.0039
268.5,0.0031,0.0060
268.7,0.0004,0.0049
268.9,0.0031,0.0069
269.1,0.0011,0.0046
269.3,0.0018,0.0080
269.5,0.0029,0.0038
269.7,0.0010,0.0064
269.9,-0.0020,0.0037
270.2,0.0032,0.0032
270.4,-0.0015,0.0033
270.6,0.0001,0.0063
270.8,0.0002,0.0048
271.0,0.0019,0.0064
271.2,0.0020,0.0039
271.4,0.0011,0.0030
271.6,0.0004,0.0032
271.8,-0.0007,0.0045
272.0,0.0010,0.0042
272.2,0.0016,0.0031
272.4,0.0008,0.0039
272.6,0.0012,0.0038
272.9,0.0003,0.0042
273.1,0.0018,0.0056
273.3,0.0034,0.0046
273.5,0.0030,0.0046
273.7,0.0040,0.0055
273.9,0.0016,0.0053
274.1,0.0000,0.0049
274.3,0.0021,0.0056
274.5,0.0013,0.0030
274.7,0.0000,0.0043
274.9,0.0012,0.0052
275.1,0.0032,0.0024
275.4,0.0017,0.0051
275.6,0.0016,0.0056
275.8,0.0008,0.0029
276.0,0.0016,0.0034
276.2,0.0002,0.0056
276.4,0.0025,0.0038
276.6,-0.0014,0.0023
276.8,0.0015,0.0047
277.0,0.0023,0.0047
277.2,0.0012,0.0035
277.4,0.0036,0.0067
277.6,-0.0006,0.0037
277.9,0.0031,0.0032
278.1,0.0022,0.0029
278.3,0.0015,0.0049
278.5,0.0023,0.0052
278.7,0.0026,0.0043
278.9,0.0019,0.0053
279.1,0.0006,0.0038
279.3,0.0038,0.0058
279.5,0.0000,0.0023
279.7,0.0027,0.0049
279.9,0.0029,0.0049
280.2,0.0038,0.0048
280.4,-0.0006,0.0039
280.6,0.0023,0.0039
280.8,0.0016,0.0069
281.0,0.0032,0.0051
281.2,0.0013,0.0046
281.4,0.0002,0.0041
281.6,0.0022,0.0039
281.8,0.0032,0.0067
282.0,0.0004,0.0036
282.2,0.0009,0.0060
282.5,0.0041,0.0019
282.7,0.0025,0.0029
282.9,0.0000,0.0046
283.1,0.0034,0.0047
283.3,0.0023,0.0019
283.5,0.0002,0.0054
283.7,0.0003,0.0037
283.9,0.0015,0.0040
284.1,0.0008,0.0041
284.3,0.0037,0.0036
284.5,0.0013,0.0054
284.8,0.0035,0.0043
285.0,0.0015,0.0034
285.2,0.0025,0.0034
285.4,0.0010,0.0026
285.6,0.0014,0.0033
285.8,0.0003,0.0037
286.0,0.0014,0.0046
286.2,0.0005,0.0056
286.4,0.0005,0.0045
286.6,0.0010,0.0052
286.8,0.0015,0.0055
287.1,0.0009,0.0059
287.3,0.0002,0.0045
287.5,-0.0001,0.0034
287.7,0.0008,0.0028
287.9,0.0012,0.0052
288.1,0.0009,0.0075
288.3,-0.0001,0.0041
288.5,0.0038,0.0040
288.7,0.0012,0.0047
288.9,-0.0022,0.0048
289.1,0.0007,0.0022
289.4,0.0022,0.0052
289.6,-0.0017,0.0050
289.8,0.0015,0.0061
290.0,0.0006,0.0044
290.2,0.0026,0.0055
290.4,-0.0009,0.0050
290.6,0.0026,0.0056
290.8,0.0013,0.0064
291.0,0.0004,0.0052
291.2,0.0000,0.0032
291.5,0.0021,0.0077
291.7,0.0014,0.0053
291.9,0.0033,0.0038
292.1,0.0021,0.0061
292.3,0.0016,0.0071
292.5,0.0013,0.0033
292.7,0.0031,0.0031
292.9,0.0010,0.0024
293.1,0.0013,0.0059
293.3,-0.0009,0.0045
293.6,0.0026,0.0044
293.8,-0.0014,0.0028
294.0,0.0032,0.0070
294.2,0.0015,0.0040
294.4,0.0007,0.0022
294.6,0.0004,0.0030
294.8,0.0008,0.0083
295.0,0.0007,0.0036
295.2,0.0019,0.0036
295.4,0.0009,0.0045
295.6,0.0016,0.0029
295.9,0.0011,0.0064
296.1,0.0043,0.0045
296.3,0.0037,0.0056
296.5,0.0023,0.0072
296.7,0.0006,0.0040
296.9,0.0019,0.0039
297.1,0.0023,0.0065
297.3,0.0023,0.0057
297.5,0.0020,0.0030
297.8,0.0035,0.0024
298.0,0.0007,0.0055
298.2,0.0025,0.0037
298.4,0.0025,0.0061
298.6,0.0025,0.0029
298.8,0.0026,0.0042
299.0,0.0019,0.0045
299.2,0.0013,0.0029
299.4,0.0010,0.0062
299.6,0.0028,0.0051
299.9,0.0018,0.0039
300.1,0.0022,0.0046
300.3,0.0020,0.0050
300.5,-0.0030,0.0090
300.7,0.0020,0.0027
300.9,-0.0003,0.0051
301.1,0.0013,0.0031
301.3,0.0023,0.0020
301.5,0.0029,0.0067
301.7,0.0007,0.0036
